code,description,code_type,source,year
00472,Anes prtl rib rescj thoracop,CPT,RVU2026A,2026
00474,Anes prtl rib rescj rad px,CPT,RVU2026A,2026
00500,Anes all px on esophagus,CPT,RVU2026A,2026
00520,Anes closed chest px nos,CPT,RVU2026A,2026
00522,Anes clsd ch px ndl bx pleur,CPT,RVU2026A,2026
00524,Anes clsd ch px pneumocents,CPT,RVU2026A,2026
00528,Anes clsd ch mediast&thrc wo,CPT,RVU2026A,2026
00529,Anes clsd ch mediast&thrc w/,CPT,RVU2026A,2026
00530,Anes perm transvns pm insj,CPT,RVU2026A,2026
00532,Anes access ctr venous crcj,CPT,RVU2026A,2026
00534,Anes insertion/rplcmt cvdfb,CPT,RVU2026A,2026
00537,Anes cardiac ep procedures,CPT,RVU2026A,2026
00539,Anes tracheobronchial rcnstj,CPT,RVU2026A,2026
00540,Anes thoracotomy px nos,CPT,RVU2026A,2026
00541,Anes thrcm px 1 lung vntj,CPT,RVU2026A,2026
00542,Anes thrcm px decortication,CPT,RVU2026A,2026
00546,Anes thrcm px pulm rescj,CPT,RVU2026A,2026
00548,Anes thrcm px trach&bronchi,CPT,RVU2026A,2026
0054T,Bone srgry cmptr fluor image,Other,RVU2026A,2026
00550,Anes for sternal debridement,CPT,RVU2026A,2026
0055T,Bone srgry cmptr ct/mri imag,Other,RVU2026A,2026
00560,Anes px heart w/o pump oxtj,CPT,RVU2026A,2026
00561,Anes px heart w/pump<1 yr,CPT,RVU2026A,2026
00562,Anes px hrt w/pump age 1yr+,CPT,RVU2026A,2026
00563,Anes px heart w/pmp crc arst,CPT,RVU2026A,2026
00566,Anes direct cabg w/o pump,CPT,RVU2026A,2026
00567,Anes direct cabg w/pump,CPT,RVU2026A,2026
00580,Anes heart/lung transplant,CPT,RVU2026A,2026
00600,Anes px crv spine&cord nos,CPT,RVU2026A,2026
00604,Anes px crv spn&cord sitting,CPT,RVU2026A,2026
00620,Anes px thrc spine&cord nos,CPT,RVU2026A,2026
00625,Anes thrc spine wo 1lng vent,CPT,RVU2026A,2026
00626,Anes thrc spine w/1 lng vent,CPT,RVU2026A,2026
00630,Anes px lumbar region nos,CPT,RVU2026A,2026
00632,Anes px lumbar sympathectomy,CPT,RVU2026A,2026
00635,Anes dx/ther lumbar pnxr,CPT,RVU2026A,2026
00640,Anes spine manipulation,CPT,RVU2026A,2026
00670,Anes xtnsv sp&spi cord px,CPT,RVU2026A,2026
00700,Anes px upr ant abd wall nos,CPT,RVU2026A,2026
00702,Anes upr ant abd wall lvr bx,CPT,RVU2026A,2026
0071T,Us leiomyomata ablate <200,Other,RVU2026A,2026
0072T,Fcsd us abltj leiomyom>=200,Other,RVU2026A,2026
00730,Anes px upper pst abdl wall,CPT,RVU2026A,2026
00731,Anes upr gi ndsc px nos,CPT,RVU2026A,2026
00732,Anes upr gi ndsc px ercp,CPT,RVU2026A,2026
00750,Anes hrna rpr upr abd nos,CPT,RVU2026A,2026
00752,Anes hrna rpr lmbr&vnt&/dehs,CPT,RVU2026A,2026
00754,Anes hrna rpr omphalocele,CPT,RVU2026A,2026
00756,Anes hrna rpr diphrg hrna,CPT,RVU2026A,2026
0075T,Perq stent/chest vert art,Other,RVU2026A,2026
0076T,S&i stent/chest vert art,Other,RVU2026A,2026
00770,Anes px maj abd blood vessel,CPT,RVU2026A,2026
00790,Anes iper upr abd nos,CPT,RVU2026A,2026
00792,Anes iper upr abd prtl hptc,CPT,RVU2026A,2026
00794,Anes iper upr abd pncrtect,CPT,RVU2026A,2026
00796,Anes iper upr abd lvr trnspl,CPT,RVU2026A,2026
00797,Anes iper upr abd gstr px mo,CPT,RVU2026A,2026
00800,Anes px lwr ant abdl wal nos,CPT,RVU2026A,2026
00802,Anes px lwr abdl wal pannic,CPT,RVU2026A,2026
00811,Anes lwr intst ndsc nos,CPT,RVU2026A,2026
00812,Anes lwr intst scr colsc,CPT,RVU2026A,2026
00813,Anes upr lwr gi ndsc px,CPT,RVU2026A,2026
00820,Anes px lwr post abdl wall,CPT,RVU2026A,2026
00830,Anes hernia rpr lwr abd nos,CPT,RVU2026A,2026
00832,Anes hernia repair vnt&incal,CPT,RVU2026A,2026
00834,Anes hernia repair<1 yr age,CPT,RVU2026A,2026
00836,Anes hrna rpr<37wk brth<50,CPT,RVU2026A,2026
00840,Anes iper px lower abd nos,CPT,RVU2026A,2026
00842,Anes iper px amniocentesis,CPT,RVU2026A,2026
00844,Anes iper px abdmnprnl rescj,CPT,RVU2026A,2026
00846,Anes iper px rad hystrectomy,CPT,RVU2026A,2026
00848,Anes iper px pel exentration,CPT,RVU2026A,2026
00851,Anes iper px tubal ligation,CPT,RVU2026A,2026
00860,Anes xtrprtl px lwr abd nos,CPT,RVU2026A,2026
00862,Anes xtrprtl lwr abd rnl px,CPT,RVU2026A,2026
00864,Anes xtrprt lwr abd tot cstc,CPT,RVU2026A,2026
00865,Anes xtrprt lwr abd prst8ect,CPT,RVU2026A,2026
00866,Anes xtrprt lw abd adrnlctmy,CPT,RVU2026A,2026
00868,Anes xtrprtl px rnl transpl,CPT,RVU2026A,2026
00870,Anes xtrprtl cystolithotomy,CPT,RVU2026A,2026
00872,Anes lithotrp esw water bath,CPT,RVU2026A,2026
00873,Anes lithotrp esw wo wtr bth,CPT,RVU2026A,2026
00880,Anes maj lwr abd vessel nos,CPT,RVU2026A,2026
00882,Anes maj lwr adb vsl ivc lig,CPT,RVU2026A,2026
00902,Anes anorectal px,CPT,RVU2026A,2026
00904,Anes radical perineal px,CPT,RVU2026A,2026
00906,Anes vulvectomy,CPT,RVU2026A,2026
00908,Anes perineal prostatectomy,CPT,RVU2026A,2026
00910,Anes transurethral px nos,CPT,RVU2026A,2026
00912,Anes trurl px rescj bldr tum,CPT,RVU2026A,2026
00914,Anes trurl px rescj prst8,CPT,RVU2026A,2026
00916,Anes trurl px rescj bleeding,CPT,RVU2026A,2026
00918,Anes trurl px urtrl cal rmvl,CPT,RVU2026A,2026
00920,Anes px male genitalia nos,CPT,RVU2026A,2026
00921,Anes px male genitalia vasec,CPT,RVU2026A,2026
00922,Anes px male gent sem ves,CPT,RVU2026A,2026
00924,Anes male gent undscnd tstis,CPT,RVU2026A,2026
00926,Anes male gent rad orch ing,CPT,RVU2026A,2026
00928,Anes male gent rad orch abd,CPT,RVU2026A,2026
00930,Anes px male gent orchiopexy,CPT,RVU2026A,2026
00932,Anes male gent compl amp pns,CPT,RVU2026A,2026
00934,Anes rad amp penis ingun lym,CPT,RVU2026A,2026
00936,Anes rad amp pns ingun&ilac,CPT,RVU2026A,2026
00938,Anes insj penile prosthesis,CPT,RVU2026A,2026
00940,Anes vaginal px nos,CPT,RVU2026A,2026
00942,Anes vag px clptmy vgnc clpr,CPT,RVU2026A,2026
00944,Anes vag px vag hysterectomy,CPT,RVU2026A,2026
00948,Anes vag px crv cerclage,CPT,RVU2026A,2026
00950,Anes vag px culdoscopy,CPT,RVU2026A,2026
00952,Anes vag px hystsc&/hsg,CPT,RVU2026A,2026
0095T,Rmvl artific disc addl crvcl,Other,RVU2026A,2026
0098T,Rev artific disc addl,Other,RVU2026A,2026
0100T,Prosth retina receive&gen,Other,RVU2026A,2026
0101T,Esw muscskel sys nos,Other,RVU2026A,2026
0102T,Esw phy anes lat hmrl epcndl,Other,RVU2026A,2026
0106T,Touch quant sensory test,Other,RVU2026A,2026
0107T,Vibrate quant sensory test,Other,RVU2026A,2026
0108T,Cool quant sensory test,Other,RVU2026A,2026
0109T,Heat quant sensory test,Other,RVU2026A,2026
0110T,Nos quant sensory test,Other,RVU2026A,2026
01112,Anes bone marrow aspir&/bx,CPT,RVU2026A,2026
01120,Anes px on bony pelvis,CPT,RVU2026A,2026
01130,Anes body cast appl/revj,CPT,RVU2026A,2026
01140,Anes ntrplvabdmnl amputation,CPT,RVU2026A,2026
01150,Anes rad px tumor of pelvis,CPT,RVU2026A,2026
01160,Anes clsd px symph pub/si jt,CPT,RVU2026A,2026
01170,Anes opn px symph pub/si jt,CPT,RVU2026A,2026
01173,Anes opn rpr fx disrpj plvs,CPT,RVU2026A,2026
01200,Anes all closed px hip joint,CPT,RVU2026A,2026
01202,Anes arthroscopic px hip jt,CPT,RVU2026A,2026
01210,Anes open px hip joint nos,CPT,RVU2026A,2026
01212,Anes open px hip jt disrtcj,CPT,RVU2026A,2026
01214,Anes open px tot hip arthrp,CPT,RVU2026A,2026
01215,Anes opn revj tot hip arthrp,CPT,RVU2026A,2026
01220,Anes clsd px upper 2/3 femur,CPT,RVU2026A,2026
01230,Anes opn upper 2/3 femur nos,CPT,RVU2026A,2026
01232,Anes opn px upr 2/3 fem amp,CPT,RVU2026A,2026
01234,Anes opn upr 2/3 fem rad res,CPT,RVU2026A,2026
01250,Anes all px nrv musc upr leg,CPT,RVU2026A,2026
01260,Anes all px veins upper leg,CPT,RVU2026A,2026
01270,Anes px arteries upr leg nos,CPT,RVU2026A,2026
01272,Anes px art femoral art lig,CPT,RVU2026A,2026
01274,Anes px art fem art emblc,CPT,RVU2026A,2026
01320,Anes all px nrv msc kne&/pop,CPT,RVU2026A,2026
01340,Anes clsd px lower 1/3 femur,CPT,RVU2026A,2026
01360,Anes open px lower 1/3 femur,CPT,RVU2026A,2026
01380,Anes all clsd px knee joint,CPT,RVU2026A,2026
01382,Anes dx arthrs px knee jt,CPT,RVU2026A,2026
01390,Anes cls px upr tib fib&/pat,CPT,RVU2026A,2026
01392,Anes opn px upr tib fib&/pat,CPT,RVU2026A,2026
01400,Anes opn/arthrs knee jt nos,CPT,RVU2026A,2026
01402,Anes opn/arth tot kne arthrp,CPT,RVU2026A,2026
01404,Anes opn/arthrs disrtcj knee,CPT,RVU2026A,2026
01420,Anes cst appl rmv/rpr kne jt,CPT,RVU2026A,2026
01430,Anes px veins knee&pop nos,CPT,RVU2026A,2026
01432,Anes px vn knee&pop av fstl,CPT,RVU2026A,2026
01440,Anes px art knee&pop nos,CPT,RVU2026A,2026
01442,Anes px art knee&pop teaec,CPT,RVU2026A,2026
01444,Anes px art knee&pop exc&grf,CPT,RVU2026A,2026
01462,Anes clsd px lower l/a/f,CPT,RVU2026A,2026
01464,Anes arthrs px ankle&/foot,CPT,RVU2026A,2026
01470,Anes px nrv msc lw l/a/f nos,CPT,RVU2026A,2026
01472,Anes rpr rpt achilles tendon,CPT,RVU2026A,2026
01474,Anes gastrocnemius recession,CPT,RVU2026A,2026
01480,Anes open px lower l/a/f nos,CPT,RVU2026A,2026
01482,Anes opn lwr l/a/f rad rescj,CPT,RVU2026A,2026
01484,Anes opn lw l/a/f oste/ostpl,CPT,RVU2026A,2026
01486,Anes open total ankle rplcmt,CPT,RVU2026A,2026
01490,Anes lwr leg cst app rmv/rpr,CPT,RVU2026A,2026
01500,Anes px art lower leg nos,CPT,RVU2026A,2026
01502,Anes px art lower leg emblc,CPT,RVU2026A,2026
01520,Anes px veins lower leg nos,CPT,RVU2026A,2026
01522,Anes px vn lwr leg ven thrmb,CPT,RVU2026A,2026
01610,Anes all px nrv musc sho&ax,CPT,RVU2026A,2026
01620,Anes clsd px shoulder joint,CPT,RVU2026A,2026
01622,Anes dx arthr px shoulder jt,CPT,RVU2026A,2026
01630,Anes opn/arthr px sho jt nos,CPT,RVU2026A,2026
01634,Anes open/arthrs sho disrtcj,CPT,RVU2026A,2026
01636,Anes open/arthr ntrthrc amp,CPT,RVU2026A,2026
01638,Anes opn/arthr tot sho rplcm,CPT,RVU2026A,2026
0164T,Remove lumb artif disc addl,Other,RVU2026A,2026
01650,Anes art sho&ax nos,CPT,RVU2026A,2026
01652,Anes art sho&ax ax-brch arsm,CPT,RVU2026A,2026
01654,Anes art sho&ax bypass grf,CPT,RVU2026A,2026
01656,Anes art sho&ax ax-fem bpg,CPT,RVU2026A,2026
0165T,Revise lumb artif disc addl,Other,RVU2026A,2026
01670,Anes all px vn shoulder&ax,CPT,RVU2026A,2026
01680,Anes sho cast appl rmvl/rpr,CPT,RVU2026A,2026
01710,Anes px nrv musc upr a&e nos,CPT,RVU2026A,2026
01712,Anes px nrv msc upr a&e tnot,CPT,RVU2026A,2026
01714,Anes nrv msc upr a&e tnplsty,CPT,RVU2026A,2026
01716,Anes nrv msc upr a&e tndsis,CPT,RVU2026A,2026
01730,Anes clsd px humerus&elbow,CPT,RVU2026A,2026
01732,Anes dx arthrs px elbow jt,CPT,RVU2026A,2026
01740,Anes opn/arthrs px elbw nos,CPT,RVU2026A,2026
01742,Anes opn/arthrs elbw osteot,CPT,RVU2026A,2026
01744,Anes opn/arthrs elbw rpr hum,CPT,RVU2026A,2026
0174T,Cad cxr with interp,Other,RVU2026A,2026
01756,Anes opn/arthrs elbw rad px,CPT,RVU2026A,2026
01758,Anes opn/arthrs elbw exc cst,CPT,RVU2026A,2026
0175T,Cad cxr remote,Other,RVU2026A,2026
01760,Anes opn/arthr elb tot rplct,CPT,RVU2026A,2026
01770,Anes px art upr arm&elbw nos,CPT,RVU2026A,2026
01772,Anes art upr arm&elbw emblc,CPT,RVU2026A,2026
01780,Anes px vn upr arm&elbw nos,CPT,RVU2026A,2026
01782,Anes vn upr arm&elbw phlbrpy,CPT,RVU2026A,2026
01810,Anes px nrv musc f/arm wrst,CPT,RVU2026A,2026
01820,Anes clsd px rds u/w/h bones,CPT,RVU2026A,2026
01829,Anes dx arthroscopic px wrst,CPT,RVU2026A,2026
01830,Anes arthr/ndsc wrst/hnd nos,CPT,RVU2026A,2026
01832,Anes arthr/ndsc tot wrst rpl,CPT,RVU2026A,2026
01840,Anes art f/arm wrst&hnd nos,CPT,RVU2026A,2026
01842,Anes art farm wrst&hnd emblc,CPT,RVU2026A,2026
01844,Anes vasc shunt/shunt revj,CPT,RVU2026A,2026
0184T,Exc rectal tumor endoscopic,Other,RVU2026A,2026
01850,Anes vein f/arm wrst&hnd nos,CPT,RVU2026A,2026
01852,Anes px vn f/arm phlbrrhaphy,CPT,RVU2026A,2026
01860,Anes forearm wrist/hand cast,CPT,RVU2026A,2026
01916,Anes dx arteriography/vngrph,CPT,RVU2026A,2026
01920,Anes cardiac catheterization,CPT,RVU2026A,2026
01922,Anes n-invas img/radj ther,CPT,RVU2026A,2026
01924,Anes ther ivntl rad artl nos,CPT,RVU2026A,2026
01925,Anes ivntl rad artl crtd/c,CPT,RVU2026A,2026
01926,Anes ivntl rad icr icar/aort,CPT,RVU2026A,2026
01930,Anes ther ivntl rad ven nos,CPT,RVU2026A,2026
01931,Anes ivnt rad ntrhpt/prt crc,CPT,RVU2026A,2026
01932,Anes th ivnt rad ntrthrc/jug,CPT,RVU2026A,2026
01933,Anes ther ivntl rad px icr,CPT,RVU2026A,2026
01937,Anes drg/aspir crv/thrc,CPT,RVU2026A,2026
01938,Anes drg/aspir lmbr/sac,CPT,RVU2026A,2026
01939,Anes nulyt agt crv/thrc,CPT,RVU2026A,2026
01940,Anes nulyt agt lmbr/sac,CPT,RVU2026A,2026
01941,Anes neuromd/ntrvrt crv/thrc,CPT,RVU2026A,2026
01942,Anes neuromd/ntrvrt lmbr/sac,CPT,RVU2026A,2026
01951,Anes 2&3 burn less 4 % tbsa,CPT,RVU2026A,2026
01952,Anes 2&3 burn 4-9% tbsa,CPT,RVU2026A,2026
01953,Anes 2&3 burn ea add 9% tbsa,CPT,RVU2026A,2026
01958,Anes xtrnl cephalic version,CPT,RVU2026A,2026
01960,Anes vaginal delivery only,CPT,RVU2026A,2026
01961,Anes cesarean delivery only,CPT,RVU2026A,2026
01962,Anes urgent hysterectomy,CPT,RVU2026A,2026
01963,Anes cesarean hysterectomy,CPT,RVU2026A,2026
01965,Anes incompl/missed ab px,CPT,RVU2026A,2026
01966,Anes induced abortion px,CPT,RVU2026A,2026
01967,Neuraxl lbr anes vag dlvr,CPT,RVU2026A,2026
01968,Anes/analg cs dlvr neuraxial,CPT,RVU2026A,2026
01969,Anes c hyst flwg neuraxial,CPT,RVU2026A,2026
0198T,Ocular blood flow measure,Other,RVU2026A,2026
01990,Physiol support hrvg organs,CPT,RVU2026A,2026
01991,Anes dx/ther nrv blk&inj oth,CPT,RVU2026A,2026
01992,Anes dx/ther nrv blk&inj prn,CPT,RVU2026A,2026
01996,Dly hosp mgmt edrl rx admin,CPT,RVU2026A,2026
01999,Unlisted anes procedure,CPT,RVU2026A,2026
0200T,Perq sacral augmt unilat inj,Other,RVU2026A,2026
0201T,Perq sacral augmt bilat inj,Other,RVU2026A,2026
0202T,Post vert arthrplst 1 lumbar,Other,RVU2026A,2026
0207T,Clear eyelid gland w/heat,Other,RVU2026A,2026
0208T,Audiometry air only,Other,RVU2026A,2026
0209T,Audiometry air & bone,Other,RVU2026A,2026
0210T,Speech audiometry threshold,Other,RVU2026A,2026
0211T,Speech audiom thresh & recog,Other,RVU2026A,2026
0212T,Compre audiometry evaluation,Other,RVU2026A,2026
0213T,Njx paravert w/us cer/thor,Other,RVU2026A,2026
0214T,Njx paravert w/us cer/thor,Other,RVU2026A,2026
0215T,Njx paravert w/us cer/thor,Other,RVU2026A,2026
0216T,Njx paravert w/us lumb/sac,Other,RVU2026A,2026
0217T,Njx paravert w/us lumb/sac,Other,RVU2026A,2026
0218T,Njx paravert w/us lumb/sac,Other,RVU2026A,2026
0219T,Plmt post facet implt cerv,Other,RVU2026A,2026
0220T,Plmt post facet implt thor,Other,RVU2026A,2026
0221T,Plmt post facet implt lumb,Other,RVU2026A,2026
0222T,Plmt post facet implt addl,Other,RVU2026A,2026
0232T,Njx platelet plasma,Other,RVU2026A,2026
0234T,Trluml perip athrc renal art,Other,RVU2026A,2026
0235T,Trluml perip athrc visceral,Other,RVU2026A,2026
0236T,Trluml perip athrc abd aorta,Other,RVU2026A,2026
0237T,Trluml perip athrc brchiocph,Other,RVU2026A,2026
0238T,Trluml perip athrc iliac art,Other,RVU2026A,2026
0253T,Insert aqueous drain device,Other,RVU2026A,2026
0263T,Im b1 mrw cel ther cmpl,Other,RVU2026A,2026
0264T,Im b1 mrw cel ther xcl hrvst,Other,RVU2026A,2026
0265T,Im b1 mrw cel ther hrvst onl,Other,RVU2026A,2026
0274T,Prq lamot/lam dcmpr crv/thrc,Other,RVU2026A,2026
0278T,Tempr,Other,RVU2026A,2026
0308T,Insj ocular telescope prosth,Other,RVU2026A,2026
0329T,Mntr io press 24hrs/> uni/bi,Other,RVU2026A,2026
0330T,Tear film img uni/bi w/i&r,Other,RVU2026A,2026
0331T,Heart symp image plnr,Other,RVU2026A,2026
0332T,Heart symp image plnr spect,Other,RVU2026A,2026
0333T,Visual ep scr acuity auto,Other,RVU2026A,2026
0335T,Insj sinus tarsi implant,Other,RVU2026A,2026
0338T,Trnscth renal symp denrv unl,Other,RVU2026A,2026
0339T,Trnscth renal symp denrv bil,Other,RVU2026A,2026
0342T,Thxp apheresis w/hdl delip,Other,RVU2026A,2026
0345T,Transcath mtral vlve repair,Other,RVU2026A,2026
0347T,Ins bone device for rsa,Other,RVU2026A,2026
0348T,Rsa spine exam,Other,RVU2026A,2026
0349T,Rsa upper extr exam,Other,RVU2026A,2026
0350T,Rsa lower extr exam,Other,RVU2026A,2026
0351T,Intraop oct brst/node spec,Other,RVU2026A,2026
0352T,Oct brst/node i&r per spec,Other,RVU2026A,2026
0353T,Intraop oct breast cavity,Other,RVU2026A,2026
0354T,Oct breast surg cavity i&r,Other,RVU2026A,2026
0358T,Bia whole body,Other,RVU2026A,2026
0362T,Bhv id suprt assmt ea 15 min,Other,RVU2026A,2026
0373T,Adapt bhv tx ea 15 min,Other,RVU2026A,2026
0378T,Visual field assmnt rev/rprt,Other,RVU2026A,2026
0379T,Vis field assmnt tech suppt,Other,RVU2026A,2026
0395T,Hdr elctr ntrst/ntrcv brchtx,Other,RVU2026A,2026
0397T,Ercp w/optical endomicroscpy,Other,RVU2026A,2026
0402T,Colgn crs-link crn&pachymtry,Other,RVU2026A,2026
0403T,Diabetes prev standard curr,Other,RVU2026A,2026
0408T,Insj/rplc cardiac modulj sys,Other,RVU2026A,2026
0409T,Insj/rplc car modulj pls gn,Other,RVU2026A,2026
0410T,Insj/rplc car modulj atr elt,Other,RVU2026A,2026
0411T,Insj/rplc car modulj vnt elt,Other,RVU2026A,2026
0412T,Rmvl cardiac modulj pls gen,Other,RVU2026A,2026
0413T,Rmvl car modulj tranvns elt,Other,RVU2026A,2026
0414T,Rmvl & rpl car modulj pls gn,Other,RVU2026A,2026
0415T,Repos car modulj tranvns elt,Other,RVU2026A,2026
0416T,Reloc skin pocket pls gen,Other,RVU2026A,2026
0417T,Prgrmg eval cardiac modulj,Other,RVU2026A,2026
0418T,Interro eval cardiac modulj,Other,RVU2026A,2026
0419T,Dstrj neurofibroma xtnsv,Other,RVU2026A,2026
0420T,Dstrj neurofibroma xtnsv,Other,RVU2026A,2026
0422T,Tactile breast img uni/bi,Other,RVU2026A,2026
0437T,Impltj synth rnfcmt abdl wal,Other,RVU2026A,2026
0439T,Myocrd contrast prfuj echo,Other,RVU2026A,2026
0440T,Abltj perc uxtr/perph nrv,Other,RVU2026A,2026
0441T,Abltj perc lxtr/perph nrv,Other,RVU2026A,2026
0442T,Abltj perc plex/trncl nrv,Other,RVU2026A,2026
0443T,R-t spctrl alys prst8 tiss,Other,RVU2026A,2026
0444T,1st plmt drug elut oc ins,Other,RVU2026A,2026
0445T,Sbsqt plmt drug elut oc ins,Other,RVU2026A,2026
0446T,Insj impltbl glucose sensor,Other,RVU2026A,2026
0447T,Rmvl impltbl glucose sensor,Other,RVU2026A,2026
0448T,Remvl insj impltbl gluc sens,Other,RVU2026A,2026
0449T,Insj aqueous drain dev 1st,Other,RVU2026A,2026
0450T,Insj aqueous drain dev each,Other,RVU2026A,2026
0464T,Visual ep test for glaucoma,Other,RVU2026A,2026
0469T,Rta polarize scan oc scr bi,Other,RVU2026A,2026
0472T,Prgrmg io rta eltrd ra,Other,RVU2026A,2026
0473T,Reprgrmg io rta eltrd ra,Other,RVU2026A,2026
0474T,Insj aqueous drg dev io rsvr,Other,RVU2026A,2026
0479T,Fxjl abl lsr 1st 100 sq cm,Other,RVU2026A,2026
0480T,Fxjl abl lsr ea addl 100sqcm,Other,RVU2026A,2026
0481T,Njx autol wbc concentrate,Other,RVU2026A,2026
0483T,Tmvi percutaneous approach,Other,RVU2026A,2026
0484T,Tmvi transthoracic exposure,Other,RVU2026A,2026
0485T,Oct mid ear i&r unilateral,Other,RVU2026A,2026
0486T,Oct mid ear i&r bilateral,Other,RVU2026A,2026
0488T,Diabetes prev online/elec,Other,RVU2026A,2026
0489T,Regn cell tx scldr hands,Other,RVU2026A,2026
0490T,Regn cell tx scldr h mlt inj,Other,RVU2026A,2026
0494T,Prep & cannulj cdvr don lung,Other,RVU2026A,2026
0495T,Mntr cdvr don lng 1st 2 hrs,Other,RVU2026A,2026
0496T,Mntr cdvr don lng ea addl hr,Other,RVU2026A,2026
0500F,Initial prenatal care visit,Other,RVU2026A,2026
0501F,Prenatal flow sheet,Other,RVU2026A,2026
0502F,Subsequent prenatal care,Other,RVU2026A,2026
0503F,Postpartum care visit,Other,RVU2026A,2026
0505F,Hemodialysis plan docd,Other,RVU2026A,2026
0505T,Ev fempop artl revsc,Other,RVU2026A,2026
0506T,Mac pgmt opt dns meas hfp,Other,RVU2026A,2026
0507F,Periton dialysis plan docd,Other,RVU2026A,2026
0507T,Near ifr 2img mibmn glnd i&r,Other,RVU2026A,2026
0509F,Urine incon plan docd,Other,RVU2026A,2026
0509T,Pattern erg w/i&r,Other,RVU2026A,2026
0510T,Rmvl sinus tarsi implant,Other,RVU2026A,2026
0511T,Rmvl&rinsj sinus tarsi implt,Other,RVU2026A,2026
0512T,Esw integ wnd hlg 1st wnd,Other,RVU2026A,2026
0513F,Elev bp plan of care docd,Other,RVU2026A,2026
0513T,Esw integ wnd hlg ea addl,Other,RVU2026A,2026
0514F,Care plan hgb docd esa pt,Other,RVU2026A,2026
0515T,Insj wcs lv compl sys,Other,RVU2026A,2026
0516F,Anemia plan of care docd,Other,RVU2026A,2026
0516T,Insj wcs lv eltrd only,Other,RVU2026A,2026
0517F,Glaucoma plan of care docd,Other,RVU2026A,2026
0517T,Insj wcs lv both compnt pg,Other,RVU2026A,2026
0518F,Fall plan of care docd,Other,RVU2026A,2026
0518T,Rmvl pg wcs lv battery only,Other,RVU2026A,2026
0519F,Pland chemo docd b/4 txmnt,Other,RVU2026A,2026
0519T,Rmv&rplcmt pg wcs lv both,Other,RVU2026A,2026
0520F,Rad dos limts b/4 3d rad,Other,RVU2026A,2026
0520T,Rmv&rplcmt pg wcs lv battery,Other,RVU2026A,2026
0521F,Plan of care 4 pain docd,Other,RVU2026A,2026
0521T,Interrog dev eval wcs ip,Other,RVU2026A,2026
